date,store,category,product,units_sold,price,revenue
2023-01-01,Store_A,Electronics,Headphones,14,651.86,9126.04
2023-01-01,Store_A,Electronics,Smartphone,13,308.61,4011.93
2023-01-01,Store_A,Electronics,Laptop,14,487.1,6819.4
2023-01-01,Store_A,Electronics,Smartwatch,10,856.55,8565.5
2023-01-01,Store_A,Apparel,T-Shirt,17,84.56,1437.52
2023-01-01,Store_A,Apparel,Jeans,25,19.75,493.75
2023-01-01,Store_A,Apparel,Jacket,17,91.55,1556.35
2023-01-01,Store_A,Apparel,Sneakers,17,47.65,810.05
2023-01-01,Store_A,Groceries,Rice_5kg,19,9.23,175.37
2023-01-01,Store_A,Groceries,Cooking_Oil,11,5.71,62.81
2023-01-01,Store_A,Groceries,Snacks_Pack,23,21.8,501.4
2023-01-01,Store_A,Groceries,Beverages,5,4.76,23.8
2023-01-01,Store_A,Home_Decor,Lamp,24,80.38,1929.12
2023-01-01,Store_A,Home_Decor,Cushion,11,147.99,1627.89
2023-01-01,Store_A,Home_Decor,Wall_Art,18,36.11,649.98
2023-01-01,Store_A,Home_Decor,Curtains,8,81.69,653.52
2023-01-01,Store_A,Beauty,Shampoo,14,54.5,763.0
2023-01-01,Store_A,Beauty,Moisturizer,21,59.45,1248.45
2023-01-01,Store_A,Beauty,Perfume,18,5.38,96.84
2023-01-01,Store_A,Beauty,Lipstick,17,68.69,1167.73
2023-01-01,Store_B,Electronics,Headphones,13,725.59,9432.67
2023-01-01,Store_B,Electronics,Smartphone,12,598.65,7183.8
2023-01-01,Store_B,Electronics,Laptop,12,377.33,4527.96
2023-01-01,Store_B,Electronics,Smartwatch,20,490.58,9811.6
2023-01-01,Store_B,Apparel,T-Shirt,32,18.77,600.64
2023-01-01,Store_B,Apparel,Jeans,8,101.37,810.96
2023-01-01,Store_B,Apparel,Jacket,11,71.77,789.47
2023-01-01,Store_B,Apparel,Sneakers,14,116.08,1625.12
2023-01-01,Store_B,Groceries,Rice_5kg,16,11.65,186.4
2023-01-01,Store_B,Groceries,Cooking_Oil,7,3.06,21.42
2023-01-01,Store_B,Groceries,Snacks_Pack,8,11.17,89.36
2023-01-01,Store_B,Groceries,Beverages,9,3.62,32.58
2023-01-01,Store_B,Home_Decor,Lamp,17,136.75,2324.75
2023-01-01,Store_B,Home_Decor,Cushion,6,23.22,139.32
2023-01-01,Store_B,Home_Decor,Wall_Art,7,26.54,185.78
2023-01-01,Store_B,Home_Decor,Curtains,25,140.31,3507.75
2023-01-01,Store_B,Beauty,Shampoo,20,76.3,1526.0
2023-01-01,Store_B,Beauty,Moisturizer,17,9.32,158.44
2023-01-01,Store_B,Beauty,Perfume,15,10.46,156.9
2023-01-01,Store_B,Beauty,Lipstick,16,33.22,531.52
2023-01-01,Store_C,Electronics,Headphones,9,151.0,1359.0
2023-01-01,Store_C,Electronics,Smartphone,14,874.4,12241.6
2023-01-01,Store_C,Electronics,Laptop,11,583.42,6417.62
2023-01-01,Store_C,Electronics,Smartwatch,16,444.14,7106.24
2023-01-01,Store_C,Apparel,T-Shirt,11,112.94,1242.34
2023-01-01,Store_C,Apparel,Jeans,8,118.66,949.28
2023-01-01,Store_C,Apparel,Jacket,13,119.97,1559.61
2023-01-01,Store_C,Apparel,Sneakers,17,52.61,894.37
2023-01-01,Store_C,Groceries,Rice_5kg,13,6.9,89.7
2023-01-01,Store_C,Groceries,Cooking_Oil,5,12.06,60.3
2023-01-01,Store_C,Groceries,Snacks_Pack,13,9.56,124.28
2023-01-01,Store_C,Groceries,Beverages,5,5.49,27.45
2023-01-01,Store_C,Home_Decor,Lamp,9,34.78,313.02
2023-01-01,Store_C,Home_Decor,Cushion,6,106.66,639.96
2023-01-01,Store_C,Home_Decor,Wall_Art,10,114.76,1147.6
2023-01-01,Store_C,Home_Decor,Curtains,10,45.34,453.4
2023-01-01,Store_C,Beauty,Shampoo,11,29.16,320.76
2023-01-01,Store_C,Beauty,Moisturizer,11,45.28,498.08
2023-01-01,Store_C,Beauty,Perfume,11,22.79,250.69
2023-01-01,Store_C,Beauty,Lipstick,6,26.38,158.28
2023-01-02,Store_A,Electronics,Headphones,11,785.68,8642.48
2023-01-02,Store_A,Electronics,Smartphone,15,325.13,4876.95
2023-01-02,Store_A,Electronics,Laptop,17,94.05,1598.85
2023-01-02,Store_A,Electronics,Smartwatch,8,629.28,5034.24
2023-01-02,Store_A,Apparel,T-Shirt,22,103.39,2274.58
2023-01-02,Store_A,Apparel,Jeans,13,69.92,908.96
2023-01-02,Store_A,Apparel,Jacket,16,72.07,1153.12
2023-01-02,Store_A,Apparel,Sneakers,23,47.73,1097.79
2023-01-02,Store_A,Groceries,Rice_5kg,12,5.45,65.4
2023-01-02,Store_A,Groceries,Cooking_Oil,12,11.22,134.64
2023-01-02,Store_A,Groceries,Snacks_Pack,10,23.22,232.2
2023-01-02,Store_A,Groceries,Beverages,17,23.18,394.06
2023-01-02,Store_A,Home_Decor,Lamp,10,85.24,852.4
2023-01-02,Store_A,Home_Decor,Cushion,10,79.77,797.7
2023-01-02,Store_A,Home_Decor,Wall_Art,11,149.56,1645.16
2023-01-02,Store_A,Home_Decor,Curtains,12,15.12,181.44
2023-01-02,Store_A,Beauty,Shampoo,13,69.63,905.19
2023-01-02,Store_A,Beauty,Moisturizer,10,58.7,587.0
2023-01-02,Store_A,Beauty,Perfume,9,18.39,165.51
2023-01-02,Store_A,Beauty,Lipstick,15,26.99,404.85
2023-01-02,Store_B,Electronics,Headphones,3,808.77,2426.31
2023-01-02,Store_B,Electronics,Smartphone,16,300.3,4804.8
